"Tarih","PM10","SO2"
"3/5/2020","23.99292","5.289019"
"3/5/2020","30.9901","6.880413"
"3/5/2020","34.99434","8.56692"
"3/5/2020","57.96747","12.90186"
"3/5/2020","39.02687","27.32969"
"3/5/2020","20.02687","21.03969"
"3/5/2020","18.00283","16.22648"
"3/5/2020","19.99717","9.035263"
"3/5/2020","15.00707","7.774761"
"3/5/2020","15.99859","8.024566"
"3/5/2020","18.99576","11.34163"
"3/5/2020","40.96888","8.311495"
"3/5/2020","64.96591","9.748704"
"3/5/2020","72","14.08938"
"3/4/2020","84.98164","17.67461"
